headword,meaning
signify,তাৎপর্যপূর্ণ করা, অর্থ প্রকাশ করা
silence,নীরবতা, নীরব করা, শান্ত করা
silent,নীরব, নিঃশব্দ
silk,রেশম, সিল্ক
silly,বোকা, মূর্খ
silver,রূপা, রূপালী রঙ
similar,অনুরূপ, সদৃশ
simple,সহজ, সরল, সাদাসিধে
since,যেহেতু, থেকে, এরপর
sincere,আন্তরিক, খাঁটি, অকপট
sinew,পেশীবল, শক্তি
sing,গান গাওয়া, গুণগান করা
single,একক, অবিবাহিত, বাছাই করা
sink,ডুবে যাওয়া, সিঙ্ক, অবনতি ঘটা
sip,চুমুক দেওয়া, অল্প চুমুক
sir,মহাশয়, স্যার
sister,বোন, ভগিনী
sit,বসা, উপবেশন করা, সভা করা
site,স্থান, সাইট, স্থাপনা
situation,পরিস্থিতি, অবস্থান, চাকরি
size,আকার, পরিমাপ, মাপ নেওয়া
skeleton,কঙ্কাল, কঙ্কালসার রূপ
sketch,স্কেচ, খসড়া আঁকা, সংক্ষিপ্ত বিবরণ
skill,দক্ষতা, পারদর্শিতা
skin,চামড়া, খোসা ছাড়ানো, চামড়া ছালানো
skip,এড়িয়ে যাওয়া, লাফানো
skirt,স্কার্ট, প্রান্ত দিয়ে চলা
sky,আকাশ, গগন
slab,তক্তা, চ্যাপ্টা স্লাব
slack,শিথিল, অলস সময়, আলগা
slain,নিহত, বধ করা
slam,ধাক্কা দিয়ে বন্ধ করা, সজোরে আঘাত
slander,অপবাদ, কুৎসা রটানো
slant,হেলানো, পক্ষপাতিত্ব করা
slap,চড় মারা, আঘাত
slate,স্লেট, স্লেট পাথর, মনোনয়ন দেওয়া
slaughter,বধ করা, পশুহত্যা, হত্যাকাণ্ড
slave,দাস, কঠোর পরিশ্রম করা
slay,বধ করা, হত্যা করা
sleep,ঘুমানো, নিদ্রা
sleeve,হাতা, জামার হাতা
slender,সরু, কৃশ, সামান্য
slice,টুকরো, টুকরো করে কাটা
slide,পিচ্ছিল হয়ে চলা, স্লাইড, হড়কানো
slight,সামান্য, অবজ্ঞা করা, হালকা
slim,সরু, পাতলা, কৃশ
sling,তিড়িং লাফ, গুলতি, ঝুলিয়ে রাখা
slip,পিছলে যাওয়া, স্লিপ, ভুল করা
slope,ঢাল, হেলানো, ঢালু হওয়া
slow,ধীর, অলস, গতি কমানো
slumber,ঘুম, তন্দ্রা যাওয়া
sly,ধূর্ত, চতুর
small,ছোট, ক্ষুদ্র, সামান্য
smart,স্মার্ট, বুদ্ধিমান, তীব্র ব্যথা করা
smash,চূর্ণবিচূর্ণ করা, চূর্ণ করা, আঘাত
smell,গন্ধ, ঘ্রাণ নেওয়া, গন্ধ পাওয়া
smile,হাসি, মৃদু হাসা
smith,কামার, কারিগর
smoke,ধোঁয়া, ধূমপান করা
smooth,মসৃণ, সহজ করা, শান্ত করা
snail,শামুক, ধীরগতির জীব
snake,সাপ, সর্প
snap,হঠাৎ ভেঙে যাওয়া, ছবি তোলা
snare,ফাঁদ, ফাঁদে ফেলা
snatch,ছিনিয়ে নেওয়া, গ্রাস করা
sneak,গোপনে চলা, ভীরু লোক
sneer,অবজ্ঞার হাসি, কটাক্ষ করা
sniff,শোঁকা, সর্দি টানা
snow,তুষার, তুষারপাত হওয়া
soak,ভিজিয়ে রাখা, শুষে নেওয়া
soap,সাবান, সাবান মাখানো
soar,ঊর্ধ্বে ওড়া, ওপরে ওঠা
sob,ফুঁপিয়ে কাঁদা, ফুঁপানি
sober,সংযমী, শান্ত, গম্ভীর করা
social,সামাজিক, সমাজপ্রিয়
society,সমাজ, সমিতি
sock,মোজা, মোজা পরা
soda,সোডা, সোডা জল
sofa,সোফা, গদিদার আসন
soft,নরম, মৃদু, হালকা
soil,মাটি, নোংরা করা
solar,সৌর, সূর্য সংক্রান্ত
soldier,সৈনিক, যোদ্ধা, লড়াই করা
sole,একমাত্র, পায়ের তলা, সোল মাছ
solemn,গুরুগম্ভীর, পবিত্র, গম্ভীর
solid,কঠিন, শক্ত, নির্ভরযোগ্য
solitary,একাকী, নির্জন
solve,সমাধান করা, মীমাংসা করা
some,কিছু, কয়েকটি
son,পুত্র, ছেলে
song,গান, সঙ্গীত
soon,শীঘ্রই, শীঘ্র
soothe,শান্ত করা, উপশম করা
sore,ক্ষত, বেদনাদায়ক, দুঃখজনক
sorrow,দুঃখ, শোক করা
sorry,দুঃখিত, অনুতপ্ত
sort,ধরণ, শ্রেণীভুক্ত করা, বাছাই করা
soul,আত্মা, মন, ব্যক্তি
sound,শব্দ, সুস্থ, সঠিক, শোনানো
soup,সুপ, ঝোল
sour,টক, অম্লরস
source,উত্স, মূল, উৎপত্তি
south,দক্ষিণ, দক্ষিণ দিক
sovereign,সার্বভৌম, সম্রাট
space,মহাকাশ, জায়গা, দূরত্ব দেওয়া
spade,কোদাল, ইস্কাবন
span,বিস্তার, স্প্যান, পরিমাপ করা
spare,অতিরিক্ত, রেহাই দেওয়া, বাঁচানো
spark,স্ফুলিঙ্গ, স্ফুলিঙ্গ ছড়ানো
speak,কথা বলা, বক্তৃতা দেওয়া
special,বিশেষ, সুনির্দিষ্ট
specimen,নমুনা, উদাহরণ
spectacle,তমাশা, চশমা, প্রদর্শন
speech,বক্তৃতা, ভাষা, বক্তব্য
speed,গতি, দ্রুত চলা, ত্বরান্বিত করা
spell,বানান করা, জাদু, সময়কাল
spend,ব্যয় করা, কাটানো
sphere,গোলক, ক্ষেত্র
spice,মসলা, মসলা দেওয়া, মশলাদার করা
spider,মাকড়সা, মাকড়শার মত
spill,ছড়িয়ে পড়া, উছলে পড়া
spin,পাক খাওয়ানো, সুতা কাটা, ঘোরানো
spirit,আত্মা, মনবল, চেতনা
spit,থুতু ফেলা, শিক
spite,বিদ্বেষ, আক্রোশ, ক্ষুণ্ন করা
splendid,চমৎকার, দীপ্তিময়
split,বিভক্ত করা, ফাটল, চেরা
spoil,নষ্ট করা, লুটের মাল
sponge,স্পঞ্জ, স্পঞ্জ দিয়ে মোছা
sponsor,পৃষ্ঠপোষক, পৃষ্ঠপোষকতা করা
spoon,চামচ, চামচ দিয়ে তোলা
sport,খেলাধুলা, মজা করা
spot,স্থান, দাগ, চিহ্নিত করা
spread,ছড়িয়ে দেওয়া, বিস্তার
spring,বসন্তকাল, স্প্রিং, লাফানো, ঝরণা
spur,প্রেরণা, উদ্দীপনা দেওয়া
spy,গোয়েন্দা, চরবৃত্তি করা
squad,দল, ছোট সৈন্যদল
square,বর্গক্ষেত্র, চৌকো, সমকোণ করা
squeeze,নিংড়ানো, চাপ দেওয়া, গ্রাস
stable,আস্তাবল, স্থিতিশীল, দৃঢ়
stack,স্তূপ, গাদা করা
staff,কর্মীদল, লাঠি, দণ্ড, কর্মী নিয়োগ করা
stage,মঞ্চ, পর্যায়, অভিনয় করা
stain,দাগ, কলঙ্কিত করা
stair,সিঁড়ি, ধাপ
stake,খুঁটি, বাজি, বাজি ধরা
stale,বাসি, একঘেয়ে
stalk,কাণ্ড, ডাটা, চুপি চুপি অনুসরণ করা
stall,আস্তাবল, দোকান, থমকে যাওয়া
stamp,টিকিট, ডাকটিকিট, সিল মারা, পা দিয়ে আঘাত করা
stand,দাঁড়ানো, অবস্থান, সহ্য করা
standard,মান, মানদণ্ড, আদর্শ
star,তারকা, নক্ষত্র, তারকা চিহ্নিত করা
stare,একদৃষ্টিতে তাকানো, চেয়ে থাকা
start,শুরু করা, চমকে ওঠা, আরম্ভ
starve,ক্ষুধার্ত থাকা, না খেয়ে মরা
state,রাষ্ট্র, রাজ্য, ব্যক্ত করা, অবস্থা
station,স্টেশন, ঘাটি, স্থাপন করা
statue,মূর্তি, ভাস্কর্য
stature,উচ্চতা, মর্যাদা
statute,বিধিবদ্ধ আইন, অধ্যাদেশ
stay,থাকা, অবস্থান করা, স্থগিতকরণ
steady,স্থির, অবিচল, শান্ত করা
steal,চুরি করা, গোপনে চলা
steam,বাষ্প, বাষ্প তৈরি করা, বাষ্পে চলা
steel,ইস্পাত, শক্ত করা
steep,খাড়া, অতি উচ্চ, নিমজ্জিত করা
steer,পরিচালনা করা, ষাঁড়, পথ দেখানো
stem,কাণ্ড, ডাটা, রোধ করা, উদ্ভূত হওয়া
step,পদক্ষেপ, পা ফেলা, সিঁড়ির ধাপ
stern,কঠোর, গম্ভীর, জাহাজের পেছনের অংশ
stick,লাঠি, আঁকড়ে থাকা, আটকে যাওয়া
stiff,অনমনীয়, শক্ত, জেদী
still,এখনও, শান্ত, নীরবতা
stimulus,উদ্দীপনা, প্রেরণা
sting,হুল ফোটানো, দংশন, কামড়
stir,আলোড়ন করা, নাড়ানো, নাড়াচড়া
stitch,সেলাই করা, ফোঁড়, সেলাই
stock,মজুদ, শেয়ার, বংশ, মজুদ করা
stone,পাথর, পাথর মারা, বীজ
stoop,নত হওয়া, নিচু হওয়া
stop,থামা, বন্ধ করা, বিরতি
store,দোকান, মজুদ করা, ভাণ্ডার
storm,ঝড়, আক্রমণ করা, প্রচণ্ড বেগে চলা
story,গল্প, কাহিনী, তলা (বিল্ডিংয়ের)
stout,মোটা, শক্তিশালী, সাহসী
straight,সোজা, সরাসরি, অবিলম্বে
strain,টান, চাপ, ছাঁকা, বংশধারা
strange,অদ্ভুত, অপরিচিত
strap,ফিতা, ফিতা দিয়ে বাঁধা
stratagem,কৌশল, চাতুরি
straw,খড়, নল
stray,বিপথগামী, ঘুরে বেড়ানো
streak,রেখা, দাগ, ডোরাকাটা
stream,ঝরণা, ছোট নদী, প্রবাহিত হওয়া
street,রাস্তা, পথ
strength,শক্তি, বল
stress,চাপ, গুরুত্ব, জোর দেওয়া
stretch,প্রসারিত করা, টানা, বিস্তার
strict,কঠোর, সুনির্দিষ্ট
stride,দীর্ঘ পদক্ষেপ, বড় পদক্ষেপে চলা
strife,দ্বন্দ্ব, বিবাদ
strike,ধর্মঘট, আঘাত করা, সফল হওয়া
string,দড়ি, রশি, তার, সুতোয় গাঁথা
strip,খোসা ছাড়ানো, ফালি, ফালির মত কাটা
stripe,ডোরা, দাগ, ডোরাকাটা করা
strive,চেষ্টা করা, সংগ্রাম করা
stroke,আঘাত, স্ট্রোক, হাত বুলানো
strong,শক্তিশালী, দৃঢ়, তীব্র
structure,গঠন, কাঠামো, নির্মাণ করা
struggle,সংগ্রাম করা, লড়াকু প্রচেষ্টা
stubborn,একগুঁয়ে, জেদী
student,ছাত্র, শিক্ষার্থী
study,অধ্যয়ন করা, গবেষণা, পড়া
stuff,জিনিসপত্র, ঠাসা, উপাদান
stumble,হোঁচট খাওয়া, ভুল করা
stump,গাছের গুঁড়ি, স্টাম্প, হতভম্ব করা
stupid,বোকা, নির্বোধ
style,শৈলী, ফ্যাশন, কায়দা করা
subdue,বশ করা, দমন করা
subject,বিষয়, প্রজাসাধারণ, অধীন করা
sublime,মহৎ, জমকালো
submit,পেশ করা, বশ্যতা স্বীকার করা
substance,উপাদান, পদার্থ, সারমর্ম
substitute,বিকল্প, প্রতিস্থাপন করা
subtle,সূক্ষ্ম, চতুর
suburb,উপশহর, শহরতলী
subvert,উল্টে দেওয়া, ধ্বংস করা
succeed,সফল হওয়া, উত্তরাধিকারী হওয়া
success,সাফল্য, কৃতকার্যতা
such,এইরূপ, এই ধরণের
suck,শুষে নেওয়া, চোষা
sudden,হঠাৎ, আকস্মিক
suffer,কষ্ট পাওয়া, সহ্য করা
sufficient,যথেষ্ট, প্রচুর
sugar,চিনি, মিষ্টি কথা বলা
suggest,পরামর্শ দেওয়া, ইঙ্গিত করা
suit,উপযুক্ত হওয়া, মামলা, স্যুট পোশাক
suite,কামরা সমষ্টি, সেট
sullen,বিষণ্ণ, মেজাজ খারাপ
sum,সমষ্টি, যোগফল, অঙ্ক
summary,সারসংক্ষেপ, সংক্ষেপ
summer,গ্রীষ্মকাল, গরম কাল
summit,চূড়া, শিখর, শীর্ষ বৈঠক
summon,তলব করা, আহ্বান করা
sun,সূর্য, রোদ পোহানো
superb,চমৎকার, জমকালো
superficial,অগভীর, বাহ্যিক
superior,উচ্চতর, শ্রেষ্ঠ ব্যক্তি
supper,রাতের খাবার, আহার
supple,নমনীয়, কোমল
supply,সরবরাহ করা, জোগান
support,সমর্থন করা, ভরণপোষণ করা
suppose,মনে করা, অনুমান করা
suppress,দমন করা, চেপে রাখা
supreme,সর্বোচ্চ, পরম
sure,নিশ্চিত, বিশ্বস্ত
surface,পৃষ্ঠভাগ, উপরিভাগ
surge,তরঙ্গ, বৃদ্ধি পাওয়া, ঢেউ খেলা
surgeon,শল্যচিকিৎসক, সার্জন
surplus,উদ্বৃত্ত, বাড়তি
surprise,আশ্চর্য করা, বিস্ময়
surrender,আত্মসমর্পণ করা, সঁপে দেওয়া
surround,ঘিরে রাখা, বেষ্টন করা
survey,জরিপ, জরিপ করা, পর্যবেক্ষণ
survive,বেঁচে থাকা, টিকে থাকা
suspect,সন্দেহ করা, সন্দেহভাজন ব্যক্তি
suspend,ঝুলিয়ে রাখা, সাময়িক বরখাস্ত করা
suspicion,সন্দেহ, আশঙ্কা
sustain,বজায় রাখা, সহ্য করা
swallow,গিলে ফেলা, আবাবিল পাখি
swamp,জলাভূমি, প্লাবিত করা
swan,রাজহাঁস, রাজহাঁস পাখি
swarm,ঝাঁক, মৌমাছির ঝাঁক, ভিড় করা
swear,শপথ করা, গালি দেওয়া
sweat,ঘাম, ঘামানো
sweep,ঝাড়ু দেওয়া, দ্রুত চলে যাওয়া
sweet,মিষ্টি, সুমধুর, মনোরম
swell,স্ফীত হওয়া, ফুলে ওঠা, চমৎকার
swift,দ্রুত, চটপটে, আবাবিল পাখি
swim,সাঁতার কাটা, সাঁতার কাটা
swine,শূকর, নোংরা লোক
swing,দোলানো, ঝুলন্ত গতি, দোলনা
sword,তলোয়ার, খড়্গ
symbol,প্রতীক, চিহ্ন
sympathy,সহানুভূতি, সমবেদনা
symptom,লক্ষণ, উপসর্গ
synonym,সমার্থক শব্দ, প্রতিশব্দ
system,পদ্ধতি, প্রথা, প্রণালী
table,টেবিল, তালিকা, উপস্থাপন করা
tack,ছোট পেরেক, পেরেক মারা, দিক পরিবর্তন
tackle,সমাধান করা, মোকাবিলা করা, সরঞ্জাম
tact,কৌশল, বিচক্ষণতা
tail,লেজ, পশ্চাৎভাগ, অনুসরণ করা
tailor,দর্জি, পোশাক তৈরি করা, উপযোগী করা
take,নেওয়া, গ্রহণ করা, কাড়িয়া লওয়া
tale,গল্প, কাহিনী, গুজব
talent,প্রতিভা, মেধা, প্রাচীন মুদ্রা
talk,কথা বলা, আলাপচারিতা, আলোচনা
tall,লম্বা, উচ্চ
tame,পোষা, বশ করা, গৃহপালিত
tan,তামাটে রঙ, রোদে তামাটে হওয়া
tangible,স্পর্শযোগ্য, বাস্তব
tangle,জট পাকানো, বিশৃঙ্খলা
tank,ট্যাংক, জলাধার, চৌবাচ্চা
tap,আলতো চাপ দেওয়া, কল, টোকা দেওয়া
tape,ফিতা, টেপ রেকর্ড করা, ফিতা দিয়ে বাঁধা
tar,আলকাতরা, আলকাতরা মাখানো
target,লক্ষ্যবস্তু, লক্ষ্য নির্ধারণ করা
tariff,শুল্ক, কর তালিকা
task,কাজ, কার্যভার, কাজ দেওয়া
taste,স্বাদ, স্বাদ নেওয়া, পছন্দ
tax,কর, কর ধার্য করা, চাপ দেওয়া
tea,চা, চা পাতা
teach,শিক্ষা দেওয়া, শেখানো
teacher,শিক্ষক, শিক্ষিকা
team,দল, দলবদ্ধ করা
tear,অশ্রু, চোখের জল, ছিঁড়ে ফেলা
technical,প্রযুক্তিগত, কারিগরি
technique,কৌশল, পদ্ধতি
tedious,একঘেয়ে, বিরক্তিকর
teeth,দাঁতসমূহ, দন্ত
tell,বলা, ব্যক্ত করা, গণনা করা
temper,মেজাজ, শান্ত করা, রাগ
temperament,স্বভাব, মেজাজ
temperate,পরিমিত, নাতিশীতোষ্ণ
tempest,প্রবল ঝড়, গোলমাল
temple,মন্দির, উপাসনালয়, রগ
temporary,অস্থায়ী, সাময়িক
tempt,প্রলোভিত করা, প্রলুব্ধ করা
ten,দশ, ১০ সংখ্যা
tenant,ভাড়াটিয়া, চাষী, লিজ নেওয়া
tend,প্রবণতা থাকা, যত্ন নেওয়া, পাহারা দেওয়া
tender,কোমল, নরম, দরপত্র, পেশ করা
tense,উত্তেজিত, ক্রিয়ার কাল, শক্ত করা
tent,তঁবু, শিবির
term,মেয়াদ, শর্ত, শব্দ, অভিহিত করা
terminal,প্রান্তিক, টার্মিনাল, মারাত্মক
terrible,ভয়ানক, মারাত্মক
territory,অঞ্চল, রাজ্য
terror,ভয়, আতঙ্ক, সন্ত্রাসী
test,পরীক্ষা, পরীক্ষা করা, যাচাই
text,পাঠ্য, মূল গ্রন্থ, টেক্সট করা
than,চেয়ে, তুলনা করা
thank,ধন্যবাদ দেওয়া, কৃতজ্ঞতা প্রকাশ করা
that,ঐটি, যাহা, যে
theater,নাট্যশালা, সিনেমা হল, রঙ্গমঞ্চ
their,তাদের, তাদের নিজস্ব
them,তাদেরকে, তাদের
theme,মূলভাব, বিষয়বস্তু
then,তারপর, তখন
theory,তত্ত্ব, মতবাদ, তত্ত্ববিদ্যা
there,সেখানে, ঐ স্থানে
therefore,অতএব, সুতরাং
thermometer,থার্মোমিটার, উষ্ণতামাপক
these,এইগুলি, এই সব
they,তারা, তাহারা
thick,ঘন, মোটা, নিবিড়
thief,চোর, তস্কর
thigh,ঊরু, উরুদেশ
thin,পাতলা, কৃশ, হালকা করা
thing,জিনিস, বস্তু, বিষয়
think,চিন্তা করা, মনে করা, বিবেচনা করা
third,তৃতীয়, তিন ভাগের এক ভাগ
thirst,তৃষ্ণা, আকাঙ্ক্ষা করা
this,এই, এটি
thorn,কাঁটা, পীড়াদায়ক বস্তু
thorough,পুঙ্খানুপুঙ্খ, সম্পূর্ণ
those,ঐগুলি, ওই সব
though,যদিও, তা সত্ত্বেও
thought,চিন্তা, ধারণা, চিন্তা করেছিল
thousand,হাজার, ১০০০ সংখ্যা
thread,সুতো, তন্তু, সুতো পরানো
threat,হুমকি, ভীতি প্রদর্শন
three,তিন, ৩ সংখ্যা
threshold,প্রবেশদ্বার, চৌকাঠ, সীমা
thrice,তিনবার, ত্রিগুণ
thrift,মিতব্যয়িতা, সঞ্চয়
thrill,রোমাঞ্চ, শিহরিত হওয়া, রোমাঞ্চকর ঘটনা
throat,গলা, কণ্ঠনালী
throne,সিংহাসন, রাজপদ
throng,জনতা, ভিড় করা
through,মাধ্যমে, পার হয়ে, সরাসরি
throw,নিক্ষেপ করা, ছুড়ে ফেলা, নিক্ষেপ
thrust,ঠেলা, ধাক্কা দেওয়া, জোর করে ঢোকানো
thumb,বুড়ো আঙুল, পৃষ্ঠা উল্টানো
thunder,বজ্রধ্বনি, গর্জন করা
thus,এইভাবে, সুতরাং
tide,জোয়ার-ভাটা, স্রোত, পার হওয়া
tie,বাঁধা, টাই, বন্ধন, সমান সমান হওয়া
tiger,বাঘ, ব্যাঘ্র
tight,শক্ত, আঁটসাঁট, টানটান
tile,টাইলস, খাপরা, টাইলস বসানো
till,পর্যন্ত, চাষ করা, ক্যাশবাক্স
timber,কাঠ, ইমারতি কাঠ
time,সময়, কাল, বার, সময় নির্ধারণ করা
timid,ভীরু, লাজুক
tin,টিন, রাং, টিনের পাত্রে রাখা
tiny,ক্ষুদ্র, অতি ছোট
tip,টিপস, প্রান্ত, বকশিশ, বকশিশ দেওয়া, কাত করা
tire,ক্লান্ত করা, চাকা, টায়ার
title,শিরোনাম, উপাধি, স্বত্ব
to,প্রতি, দিকে, অভিমুখে
tobacco,তামাক, তামাক পাতা
today,আজ, বর্তমান দিন
toe,পায়ের আঙুল, লাথি মারা
together,একত্রে, একসাথে
toil,কঠোর পরিশ্রম করা, জাল
token,প্রতীক, স্মারক, টোকেন
tolerable,সহনীয়, মোটামুটি ভালো
toll,টোল, কর, ঘণ্টা বাজানো, ক্ষতি
tomato,টমেটো, বিলাতি বেগুন
tomb,কবর, সমাধিস্তম্ভ
tone,সুর, গলার স্বর, সুর দেওয়া, টোন
tongue,জিহ্বা, ভাষা, জিব
tonight,আজ রাতে, অদ্য রজনী
too,ও, অত্যন্ত, ও বটে
tool,সরঞ্জাম, হাতিয়ার, যন্ত্র দিয়ে কাজ করা
tooth,দাঁত, দন্ত
top,শীর্ষ, লাটিম, সর্বোত্তম, ওপরে থাকা
topic,বিষয়, আলোচনা সূচী
torch,মশাল, টর্চলাইট
torment,যাতনা, কষ্ট দেওয়া, লাঞ্ছিত করা
torrent,তীব্র জলধারা, প্রবল স্রোত
torture,অত্যাচার, নির্যাতন করা
total,মোট, সম্পূর্ণ, যোগফল বের করা
touch,স্পর্শ করা, ছোঁয়া, স্পর্শ
tough,কঠিন, শক্ত, সহনশীল
tour,ভ্রমণ, সফর করা
toward,অভিমুখে, দিকে, নিকটবর্তী
towel,তোয়ালে, গামছা দিয়ে মোছা
tower,টাওয়ার, দুর্গ, ওপরে ওঠা, চূড়া
town,শহর, নগর
toy,খেলনা, খেলনা নিয়ে খেলা করা
trace,চিহ্ন, অনুসন্ধান করা, রূপরেখা আঁকা
track,পথ, ট্র্যাক, অনুসরণ করা
trade,বাণিজ্য, ব্যবসা করা, লেনদেন করা
tradition,ঐতিহ্য, প্রথা
traffic,যানবাহন, ট্রাফিক, অবৈধ ব্যবসা করা
tragedy,বিয়োগান্তক ঘটনা, ট্র্যাজেডি
trail,পথ, চিহ্ন, পেছনে টানা, ট্রেইল
train,ট্রেন, রেলগাড়ি, প্রশিক্ষণ দেওয়া
traitor,দেশদ্রোহী, বিশ্বাসঘাতক
trample,পায়ে দলানো, অবজ্ঞা করা
tranquil,শান্ত, শান্তিময়
transfer,স্থানান্তর করা, বদলি করা, হস্তান্তর
transient,ক্ষণস্থায়ী, অস্থায়ী
translate,অনুবাদ করা, ভাষান্তর করা
transmission,প্রেরণ, সম্প্রচার, গিয়ার বক্স
transmit,প্রেরণ করা, সংক্রামিত করা, ছড়ানো
trap,ফাঁদ, ফাঁদে ফেলা
trash,আবর্জনা, নোংরা জিনিস, বাতিল করা
travel,ভ্রমণ করা, যাত্রা করা
tray,ট্রে, থালা
tread,পা ফেলা, পদক্ষেপ, মাড়ানো
treason,দেশদ্রোহিতা, রাজদ্রোহ
treasure,সম্পদ, গুপ্তধন, মূল্যবান জ্ঞান করা
treat,আচরণ করা, চিকিৎসা করা, ভোজ, আপ্যায়ন
treatment,চিকিৎসা, আচরণ
treaty,চুক্তি, সন্ধিপত্র
tree,গাছ, বৃক্ষ
tremble,কাঁপা, কম্পন, শিউরে ওঠা
trench,পরিখা, গর্ত করা
trial,পরীক্ষা, বিচার, ট্রায়াল
tribe,উপজাতি, দল
tribute,শ্রদ্ধাঞ্জলি, কর, প্রশংসা
trick,কৌশল, প্রতারণা করা, চাতুরি
trifle,সামান্য বিষয়, অবহেলা করা
trim,ছাঁটা, পরিপাটি, সজ্জিত করা
trip,ভ্রমণ, হোঁচট খাওয়া, ট্রিপ
triumph,বিজয়, আনন্দ প্রকাশ করা
troop,সৈন্যদল, বাহিনী, দলবদ্ধ হয়ে চলা
trouble,সমস্যা, কষ্ট, উদ্বেগ সৃষ্টি করা
trowel,করনিক, খন্তি
truce,যুদ্ধবিরতি, সাময়িক চুক্তি
truck,ট্রাক, লরি, ট্রাকে বহন করা
true,সত্য, বিশ্বস্ত, সঠিক
trumpet,তুর্য, ভেঁপু, প্রচার করা
trunk,কাণ্ড, হাতির শুঁড়, ট্রাঙ্ক, ধড়
trust,বিশ্বাস করা, আস্থা রাখা, ট্রাস্ট
truth,সত্য, বাস্তবতা
try,চেষ্টা করা, পরীক্ষা করা
tub,টব, গামলা
tube,নল, টিউব
tuck,গুঁজে দেওয়া, ভাঁজ
tug,টানা, সজোরে টানা
tuition,টিউশনি, শিক্ষাদান
tumble,হোঁচট খেয়ে পড়া, গড়ানো
tumor,টিউমার, ফোলা অংশ
tune,সুর, সুর দেওয়া, সঙ্গতিপূর্ণ করা
tunnel,সুড়ঙ্গ, সুড়ঙ্গ তৈরি করা
turbulent,উত্তাল, অশান্ত
turf,তৃণাচ্ছাদিত ভূমি, ঘাস
turkey,টার্কি পাখি, তুরস্ক দেশ
turn,ঘোরানো, পরিবর্তন করা, মোড়, পালা
turnip,শালগম, ওলকপি
tutor,গৃহশিক্ষক, শিক্ষাদান করা
twig,ছোট ডাল, কঞ্চি, বুঝতে পারা
twilight,গোধূলি, অস্পষ্ট আলো
twin,যমজ, জোড়া
twine,রশি, পাকানো, বেষ্টন করা
twinkle,মিটমিট করা, পলক
twist,পাকানো, মোচড় দেওয়া, মোচড়
two,দুই, ২ সংখ্যা
type,প্রকার, ধরণ, টাইপ করা, প্রতীক
typhoon,টাইফুন, প্রবল সামুদ্রিক ঝড়
typical,চিরাচরিত, সাধারণ, প্রতীকী
tyrant,অত্যাচারী শাসক, স্বৈরাচারী
ugly,কুৎসিত, অপছন্দনীয়
ultimate,চূড়ান্ত, শেষ, মৌলিক
umbrella,ছাতা, ছত্র
umpire,আম্পায়ার, সালিশকারী, পরিচালনা করা
unable,অক্ষম, অসমর্থ
unanimous,সর্বসম্মত, একমত
uncle,চাচা, মামা, খালু, ফুফু
unclean,অপরিষ্কার, নোংরা, অপবিত্র
unconscious,অচেতন, বেহুঁশ
under,অধীন, নিচে, কম
undergo,অভিজ্ঞতা লাভ করা, ভোগ করা
understand,বুঝতে পারা, উপলব্ধি করা
undertake,দায়িত্ব নেওয়া, আরম্ভ করা
uneasy,অস্বস্তিকর, চিন্তিত
unequal,অসমান, পক্ষপাতদুষ্ট
unfair,অন্যায্য, পক্ষপাতমূলক
unfortunate,দুর্ভাগ্যবান, দুঃখজনক
unhappy,অসুখী, দুঃখী
uniform,একরূপ, অভিন্ন, নির্দিষ্ট পোশাক
union,ইউনিয়ন, মিলন, সংযোগ
unique,অনন্য, অতুলনীয়
unite,একত্রিত করা, যুক্ত হওয়া
universal,সর্বজনীন, বিশ্বজনীন
universe,মহাবিশ্ব, জগৎ
university,বিশ্ববিদ্যালয়, উচ্চ শিক্ষালয়
unjust,অন্যায্য, পক্ষপাতদুষ্ট
unknown,অজানা, অপরিচিত
unless,যদি না, ব্যতীত
unlike,ভিন্ন, অসদৃশ
unlikely,অসম্ভব, অসম্ভাব্য
unusual,অস্বাভাবিক, বিরল
up,ওপরে, উন্নত, জাগ্রত
upon,ওপরে, উপর
upper,উচ্চতর, উপরের অংশ
upright,খাড়া, সৎ, ন্যায়পরায়ণ
uproar,শোরগোল, গোলমাল
upset,হতাশ, উল্টে দেওয়া, বিরক্ত করা
urban,শহুরে, নগর সংক্রান্ত
urge,অনুরোধ করা, প্রেরণা দেওয়া, তাগিদ
urgent,জরুরী, অতি প্রয়োজনীয়
us,আমাদিগকে, আমাদের
use,ব্যবহার করা, ব্যবহার, উপযোগিতা
useful,দরকারী, কাজের, উপকারী
useless,অকেজো, নিষ্ফল
usual,সাধারণত, চিরাচরিত, সাধারণ
utility,উপযোগিতা, জনসেবা
utter,উচ্চারণ করা, সম্পূর্ণ, পরম
vacant,খালি, শূন্য, অলস
vacation,ছুটি, অবকাশ
vague,অস্পষ্ট, অনির্দিষ্ট
vain,ব্যর্থ, অহংকারী
valiant,সাহসী, বীরত্বপূর্ণ
valid,বৈধ, সঠিক, গ্রহণযোগ্য
valley,উপত্যকা, সমতল ভূমি
valor,বীরত্ব, সাহস
valuable,মূল্যবান, দামী
value,মূল্য, মূল্য দেওয়া, গুরুত্ব
vanish,অদৃশ্য হওয়া, বিলীন হওয়া
vanity,অহংকার, ব্যর্থতা, প্রসাধন টেবিল
vapor,বাষ্প, কুয়াশা, বাষ্প হওয়া
variable,পরিবর্তনশীল, চলক
variety,বৈচিত্র্য, বিভিন্ন প্রকার
